"RunName","RunType","CurrentPath","ExistsNow","RecommendedStatus"
"armored_vehicle_classifier_v1","CLASSIFICATION","C:\uav_datasets_master\07_tank_platform_recognition\01_armored_vehicle_classifier_dataset_v1","True","VALID_CURRENT_PATH"
"artillery_launcher_classifier_v1","CLASSIFICATION","C:\uav_datasets_master\07_tank_platform_recognition\01_artillery_launcher_classifier_dataset_v1","True","VALID_CURRENT_PATH"
"tank_platform_classifier_v0","CLASSIFICATION","C:\uav_datasets_master\07_tank_platform_recognition\01_classifier_dataset","True","VALID_CURRENT_PATH"
"tank_platform_classifier_v1_exact_types","CLASSIFICATION","C:\uav_datasets_master\07_tank_platform_recognition\01_classifier_dataset","True","VALID_CURRENT_PATH"
"tank_platform_classifier_v2_exact_focus","CLASSIFICATION","C:\uav_datasets_master\07_tank_platform_recognition\01_classifier_dataset_v2_exact_focus","True","VALID_CURRENT_PATH"
"tank_type_classifier_v3_only_tanks","CLASSIFICATION","C:\uav_datasets_master\07_tank_platform_recognition\01_tank_type_classifier_dataset_v3","True","VALID_CURRENT_PATH"
"tank_type_classifier_v3_only_tanks-2","CLASSIFICATION","C:\uav_datasets_master\07_tank_platform_recognition\01_tank_type_classifier_dataset_v3","True","VALID_CURRENT_PATH"
"tank_type_classifier_v4_safe_unknown","CLASSIFICATION","C:\uav_datasets_master\07_tank_platform_recognition\01_tank_type_classifier_dataset_v4_safe_unknown","True","VALID_CURRENT_PATH"
"amad5_aerial_yolov8s_v1","DETECTION","training_configs\05_amad5_aerial_military_5class_clean.yaml","False","RELATIVE_PATH_NEEDS_CONFIG_COPY"
"btr_yolov8n_local_test","DETECTION","C:\Users\UAVlab\Desktop\uav_ai_company\BTR.v1i.yolov8\data.yaml","True","VALID_CURRENT_PATH"
"btr_yolov8n_v2_50epochs","DETECTION","C:\Users\UAVlab\Desktop\uav_ai_company\BTR.v1i.yolov8\data.yaml","True","VALID_CURRENT_PATH"
"military_kaggle_yolov8s_v1","DETECTION","C:\Users\UAVlab\Desktop\uav_ai_company\big_datasets\01_kaggle_military_assets\military_object_dataset\data.yaml","True","VALID_CURRENT_PATH"
