"Name","SizeMB","SourcePath"
"armored_vehicle_classifier_v1","22.24","<legacy-project-root>\runs\classify\armored_vehicle_classifier_v1"
"artillery_launcher_classifier_v1","22.31","<legacy-project-root>\runs\classify\artillery_launcher_classifier_v1"
"predict","0.5","<legacy-project-root>\runs\classify\predict"
"predict-2","1.56","<legacy-project-root>\runs\classify\predict-2"
"predict-3","0.23","<legacy-project-root>\runs\classify\predict-3"
"tank_platform_classifier_v0","21.21","<legacy-project-root>\runs\classify\tank_platform_classifier_v0"
"tank_platform_classifier_v1_exact_types","21.75","<legacy-project-root>\runs\classify\tank_platform_classifier_v1_exact_types"
"tank_platform_classifier_v1_exact_types-2","0","<legacy-project-root>\runs\classify\tank_platform_classifier_v1_exact_types-2"
"tank_platform_classifier_v2_exact_focus","22.89","<legacy-project-root>\runs\classify\tank_platform_classifier_v2_exact_focus"
"tank_type_classifier_v3_only_tanks","23.42","<legacy-project-root>\runs\classify\tank_type_classifier_v3_only_tanks"
"tank_type_classifier_v3_only_tanks-2","23.42","<legacy-project-root>\runs\classify\tank_type_classifier_v3_only_tanks-2"
"tank_type_classifier_v4_safe_unknown","23.22","<legacy-project-root>\runs\classify\tank_type_classifier_v4_safe_unknown"
"val","0.96","<legacy-project-root>\runs\classify\val"
"val-2","1.22","<legacy-project-root>\runs\classify\val-2"
"val-3","1.84","<legacy-project-root>\runs\classify\val-3"
"val-4","1.99","<legacy-project-root>\runs\classify\val-4"
"val-5","1.99","<legacy-project-root>\runs\classify\val-5"
"btr_test_predictions","5","<legacy-project-root>\runs\detect\btr_test_predictions"
"model_tests","269.11","<legacy-project-root>\runs\detect\model_tests"
"predict","91.48","<legacy-project-root>\runs\detect\predict"
"predict-10","0.79","<legacy-project-root>\runs\detect\predict-10"
"predict-11","0","<legacy-project-root>\runs\detect\predict-11"
"predict-12","91.48","<legacy-project-root>\runs\detect\predict-12"
"predict-2","91.48","<legacy-project-root>\runs\detect\predict-2"
"predict-3","91.48","<legacy-project-root>\runs\detect\predict-3"
"predict-4","0","<legacy-project-root>\runs\detect\predict-4"
"predict-5","91.48","<legacy-project-root>\runs\detect\predict-5"
"predict-6","91.57","<legacy-project-root>\runs\detect\predict-6"
"predict-7","91.48","<legacy-project-root>\runs\detect\predict-7"
"predict-8","0","<legacy-project-root>\runs\detect\predict-8"
"predict-9","0","<legacy-project-root>\runs\detect\predict-9"
"tracking_tests","149.85","<legacy-project-root>\runs\detect\tracking_tests"
"training_runs","47.21","<legacy-project-root>\runs\detect\training_runs"
"btr_yolov8n_local_test","16.58","<legacy-project-root>\training_runs\btr_yolov8n_local_test"
"btr_yolov8n_v2_50epochs","17.58","<legacy-project-root>\training_runs\btr_yolov8n_v2_50epochs"
"military_kaggle_yolov8s_v1","50.06","<legacy-project-root>\training_runs\military_kaggle_yolov8s_v1"
