"Component","Exists","Path"
"Windows sender","True","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\01_WINDOWS_AI\apps\win_yolo_tcp_sender_botsort_threat.py"
"Clean launcher","True","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\01_WINDOWS_AI\launchers\Start_Clean_Baseline.ps1"
"Military detector","True","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\03_MODELS\active\detector\military_kaggle_v1.pt"
"Tank classifier","True","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\03_MODELS\active\tank_classifier\tank_type_classifier_v3_only_tanks.pt"
"Armored classifier","True","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\03_MODELS\active\armored_classifier\armored_vehicle_classifier_v1.pt"
"Artillery classifier","True","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\03_MODELS\active\artillery_classifier\artillery_launcher_classifier_v1.pt"
"BTR portable YAML","True","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\05_TRAINING\configs\detection\portable_configs\btr_v1.yaml"
"Military portable YAML","True","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\05_TRAINING\configs\detection\portable_configs\military_kaggle_v1.yaml"
"AMAD5 portable YAML","True","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\05_TRAINING\configs\detection\portable_configs\amad5_aerial_v1.yaml"
"BTR dataset","True","C:\uav_datasets_master\01_detection\BTR_v1"
"Military dataset","True","C:\uav_datasets_master\01_detection\military_kaggle_v1"
"AMAD5 dataset","True","C:\uav_datasets_master\05_amad5_aerial_military_5class_clean"
"Test video","True","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\06_TEST_MEDIA\videos\vehicles.mp4"
"ROS2 TCP bridge","True","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\02_ROS2_WINDOWS_MIRROR\bridge\uav_windows_tcp_frame_bridge.py"
"ROS2 target dashboard","True","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\02_ROS2_WINDOWS_MIRROR\dashboards\uav_clean_target_dashboard_v5.py"
